"151044","Pedro Pascal","3","2","186","413","6.7","8, 6, 6","Kingsman: The Golden Circle, Wonder Woman 1984, The Unbearable Weight Of Massive Talent"
"151045","W. Earl Brown","3","3","187","167","6.7","5, 7, 8","The Highwaymen, The Unforgivable, Scream (1996)"
"151046","Sophia Lillis","3","3","188","168","6.7","8, 7, 5","Uncle Frank, It, It Chapter 2"
"151047","David Harbour","3","3","189","171","6.3","6, 7, 6","The Revolutionary Road, State Of Play, No Sudden Move"
"151048","William Jackson Harper","3","3","190","172","6.3","8, 5, 6","Dark Waters, Paterson, Death To 2021"
"151049","Kirsten Dunst","3","3","191","173","6.3","7, 6, 6","Eternal Sunshine Of The Spotless Mind, The Power Of The Dog, The Two Faces Of January"
"151050","Barry Shabaka Henley","3","3","192","174","6.3","7, 5, 7","State Of Play, Paterson, A Star Is Born"
"151051","Will Ferrell","3","3","193","175","6.3","6, 7, 6","The Other Guys, Austin Powers: International Man Of Mystery, Austin Powers: The Spy Who Shagged Me"
"151052","Chris Hemsworth","3","2","194","486","6.3","6, 7, 6","Extraction, The Cabin In The Woods, Spiderhead"
"151053","Golshifteh Farahani","3","2","195","487","6.3","5, 7, 7","Paterson, The Upside, Body Of Lies"
"151054","Liam Neeson","3","3","196","176","6.3","6, 6, 7","Unknown, Run All Night, Non-Stop"
"151055","Jason Clarke","3","3","197","177","6.3","7, 6, 6","Mudbound, The Devil All The Time, Everest"
"151056","Bruce Willis","3","3","198","178","6.3","5, 8, 6","Motherless Brooklyn, Die Hard, Die Hard 2"
"151057","Byun Hee-Bong","3","3","199","179","6.3","6, 5, 8","Okja, The Host, Memories Of Murder"
"151058","Dylan OBrien","3","3","200","180","6.3","8, 6, 5","The Maze Runner, Maze Runner: The Scorch Trials, Maze Runner: The Death Cure"
"151059","Thomas Brodie-Sangster","3","3","201","181","6.3","8, 6, 5","The Maze Runner, Maze Runner: The Scorch Trials, Maze Runner: The Death Cure"
"151060","Dexter Darden","3","3","202","182","6.3","8, 6, 5","The Maze Runner, Maze Runner: The Scorch Trials, Maze Runner: The Death Cure"
"151061","John Hawkes","3","3","203","183","6.3","7, 6, 6","The Peanut Butter Falcon, Contagion, Everest"
"151062","Tim Roth","3","2","204","488","6.3","7, 5, 7","Luce, The Misfits, Qt8 The First Eight"
